filename,property,depth,filetype,scalar,description,units
anylithicdpt_cm_2D_h.tif,anylithicdpt,NA,95% high prediction interval,1,Depth to bedrock (lithic or paralithic),cm
anylithicdpt_cm_2D_l.tif,anylithicdpt,NA,95% low prediction interval,1,Depth to bedrock (lithic or paralithic),cm
anylithicdpt_cm_2D_p.tif,anylithicdpt,NA,prediction,1,Depth to bedrock (lithic or paralithic),cm
anylithicdpt_cm_2D_rpi.tif,anylithicdpt,NA,relative prediction interval,1000,Depth to bedrock (lithic or paralithic),cm
caco3_0_cm_h.tif,caco3,0_cm,95% high prediction interval,1,Calcium carbonate,percent mass
caco3_0_cm_l.tif,caco3,0_cm,95% low prediction interval,1,Calcium carbonate,percent mass
caco3_0_cm_p.tif,caco3,0_cm,prediction,1,Calcium carbonate,percent mass
caco3_0_cm_rpi.tif,caco3,0_cm,relative prediction interval,100,Calcium carbonate,percent mass
caco3_100_cm_h.tif,caco3,100_cm,95% high prediction interval,1,Calcium carbonate,percent mass
caco3_100_cm_l.tif,caco3,100_cm,95% low prediction interval,1,Calcium carbonate,percent mass
caco3_100_cm_p.tif,caco3,100_cm,prediction,1,Calcium carbonate,percent mass
caco3_100_cm_rpi.tif,caco3,100_cm,relative prediction interval,100,Calcium carbonate,percent mass
caco3_15_cm_h.tif,caco3,15_cm,95% high prediction interval,1,Calcium carbonate,percent mass
caco3_15_cm_l.tif,caco3,15_cm,95% low prediction interval,1,Calcium carbonate,percent mass
caco3_15_cm_p.tif,caco3,15_cm,prediction,1,Calcium carbonate,percent mass
caco3_15_cm_rpi.tif,caco3,15_cm,relative prediction interval,100,Calcium carbonate,percent mass
caco3_150_cm_h.tif,caco3,150_cm,95% high prediction interval,1,Calcium carbonate,percent mass
caco3_150_cm_l.tif,caco3,150_cm,95% low prediction interval,1,Calcium carbonate,percent mass
caco3_150_cm_p.tif,caco3,150_cm,prediction,1,Calcium carbonate,percent mass
caco3_150_cm_rpi.tif,caco3,150_cm,relative prediction interval,100,Calcium carbonate,percent mass
caco3_30_cm_h.tif,caco3,30_cm,95% high prediction interval,1,Calcium carbonate,percent mass
caco3_30_cm_l.tif,caco3,30_cm,95% low prediction interval,1,Calcium carbonate,percent mass
caco3_30_cm_p.tif,caco3,30_cm,prediction,1,Calcium carbonate,percent mass
caco3_30_cm_rpi.tif,caco3,30_cm,relative prediction interval,100,Calcium carbonate,percent mass
caco3_5_cm_h.tif,caco3,5_cm,95% high prediction interval,1,Calcium carbonate,percent mass
caco3_5_cm_l.tif,caco3,5_cm,95% low prediction interval,1,Calcium carbonate,percent mass
caco3_5_cm_p.tif,caco3,5_cm,prediction,1,Calcium carbonate,percent mass
caco3_5_cm_rpi.tif,caco3,5_cm,relative prediction interval,100,Calcium carbonate,percent mass
caco3_60_cm_h.tif,caco3,60_cm,95% high prediction interval,1,Calcium carbonate,percent mass
caco3_60_cm_l.tif,caco3,60_cm,95% low prediction interval,1,Calcium carbonate,percent mass
caco3_60_cm_p.tif,caco3,60_cm,prediction,1,Calcium carbonate,percent mass
caco3_60_cm_rpi.tif,caco3,60_cm,relative prediction interval,100,Calcium carbonate,percent mass
cec7_0_cm_h.tif,cec7,0_cm,95% high prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_0_cm_l.tif,cec7,0_cm,95% low prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_0_cm_p.tif,cec7,0_cm,prediction,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_0_cm_rpi.tif,cec7,0_cm,relative prediction interval,100,Cation Exchange Capacity (pH 7),meq/100g
cec7_100_cm_h.tif,cec7,100_cm,95% high prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_100_cm_l.tif,cec7,100_cm,95% low prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_100_cm_p.tif,cec7,100_cm,prediction,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_100_cm_rpi.tif,cec7,100_cm,relative prediction interval,100,Cation Exchange Capacity (pH 7),meq/100g
cec7_15_cm_h.tif,cec7,15_cm,95% high prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_15_cm_l.tif,cec7,15_cm,95% low prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_15_cm_p.tif,cec7,15_cm,prediction,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_15_cm_rpi.tif,cec7,15_cm,relative prediction interval,100,Cation Exchange Capacity (pH 7),meq/100g
cec7_150_cm_h.tif,cec7,150_cm,95% high prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
cec7_150_cm_l.tif,cec7,150_cm,95% low prediction interval,10,Cation Exchange Capacity (pH 7),meq/100g
